76 75 78 100 6,0 0 0 0 27,48 41 31 52 24,61 64 69 0 65,59 46 52 100 100,0 0 0 100 39,72 84 88 0 47,72 83 0 0 67,4 56 63 100 48,5 55 63 100 29,60 69 0 0 33,56 71 75 0 3,70 79 77 100 100,70 82 63 100 75,58 58 57 100 42,68 85 34 0 32,82 96 99 59 9,81 91 0 9 57,67 78 83 100 35,64 77 82 100 27,76 81 0 0 64,76 81 0 0 64,76 15 0 0 81,67 91 99 100 100,14 85 93 100 8,65 87 79 0 45
85 77 76 100 1,26 14 11 0 100,46 38 26 0 8,100 87 74 0 52,98 90 83 100 55,33 16 7 100 27,95 89 81 0 39,95 89 3 0 41,33 75 76 100 4,35 75 74 100 9,59 76 0 0 5,62 77 81 0 4,71 70 66 100 100,71 83 77 100 69,73 61 60 96 25,86 93 52 0 36,96 95 100 19 7,90 90 0 0 51,89 92 97 100 19,89 92 100 100 30,88 91 0 0 55,89 91 0 0 55,86 12 0 0 77,84 87 89 55 100,32 87 90 100 2,80 83 80 0 56
87 91 86 100 1,41 21 8 0 100,69 56 51 56 16,100 99 82 0 45,100 100 86 100 40,35 20 12 100 19,91 96 89 4 19,91 96 4 4 51,37 82 79 100 4,39 81 76 100 44,72 84 0 1 61,65 84 83 0 0,76 79 72 93 100,77 94 83 100 52,67 66 61 100 26,72 92 74 5 19,74 93 90 4 0,74 84 9 4 24,74 90 89 100 25,70 90 97 100 25,83 88 0 0 59,86 89 0 0 25,86 25 0 0 75,74 85 86 99 100,43 77 78 100 0,61 80 71 0 54
82 92 97 100 5,55 29 16 13 100,58 47 36 20 27,100 94 84 2 51,99 97 98 100 47,13 1 0 91 18,75 86 87 0 31,75 86 0 0 75,41 77 90 100 21,43 77 89 100 21,70 82 0 2 63,70 82 100 2 3,78 80 84 100 100,78 94 90 99 63,67 65 62 96 13,75 90 100 2 33,82 93 100 2 3,82 91 22 2 67,77 87 98 100 55,77 87 98 64 34,82 87 0 6 66,82 87 0 6 67,82 19 0 6 80,73 87 100 100 100,36 83 91 100 2,66 88 95 0 56
74 85 90 100 0,37 27 25 5 74,57 51 48 5 27,82 76 85 0 55,90 84 100 100 72,17 17 25 100 30,86 89 93 0 44,86 89 15 0 69,40 73 81 100 17,40 73 81 100 17,70 78 23 0 50,70 78 84 0 4,75 89 97 88 100,75 90 100 100 61,74 83 91 100 17,88 92 100 5 25,90 94 100 5 8,90 89 24 5 44,88 89 100 100 19,89 92 100 100 15,89 92 14 1 68,89 92 30 1 68,88 43 16 1 90,72 93 100 100 100,61 83 98 100 2,71 88 99 0 64
77 93 100 100 1,0 0 0 0 55,0 0 1 0 0,30 73 92 0 3,0 9 58 96 3,0 0 12 100 3,100 100 100 0 48,100 100 39 0 20,0 55 79 100 5,0 55 79 100 5,51 61 24 0 31,81 91 100 0 6,70 100 78 82 36,62 71 84 90 4,45 47 58 80 3,76 72 81 96 3,73 87 72 0 46,41 30 0 0 3,100 100 100 100 30,100 88 94 86 0,62 59 0 0 50,62 59 0 0 22,26 9 0 0 51,100 69 90 0 31,0 61 100 100 0,62 75 100 0 34
74 92 100 100 0,0 0 0 0 100,12 37 48 53 77,48 74 82 0 88,18 55 62 86 77,0 19 18 100 0,71 83 100 0 87,71 83 27 0 84,0 69 75 100 0,0 69 75 100 78,37 68 15 4 78,39 69 81 0 78,53 72 57 95 90,52 57 74 100 81,32 47 40 45 78,54 62 39 27 0,60 79 100 25 0,55 70 20 12 82,62 90 99 100 0,55 85 82 100 78,53 79 15 0 81,53 78 14 0 84,45 43 13 0 91,64 83 96 43 0,0 80 94 100 78,35 78 93 0 88
96 98 100 100 0,0 0 0 2 98,14 33 37 37 81,46 77 74 2 82,0 49 53 51 78,0 16 11 100 84,78 78 80 2 84,77 76 2 2 83,0 61 53 87 0,0 61 53 87 0,44 59 0 3 0,54 75 84 3 78,66 80 56 100 89,52 69 88 100 82,29 49 49 41 78,46 49 2 5 78,60 60 72 5 78,45 53 17 40 78,99 99 98 100 80,83 92 80 100 0,70 82 10 4 81,67 82 10 4 84,29 31 10 4 94,70 80 88 43 91,0 67 71 100 0,51 69 79 5 91
76 74 81 100 0,0 1 0 0 97,0 34 36 25 78,17 60 61 0 0,3 57 58 80 77,0 24 17 100 0,76 74 89 20 82,24 56 10 1 83,0 56 55 100 0,0 56 55 100 0,41 55 6 3 77,44 58 65 3 77,62 79 53 99 87,57 67 82 100 80,34 55 49 100 78,74 69 59 82 78,70 69 76 37 78,43 58 20 36 78,82 86 93 100 0,80 86 91 100 79,69 74 11 0 79,68 74 10 0 84,28 27 10 0 91,63 61 59 0 89,0 61 72 100 0,35 64 79 0 88
60 66 83 100 78,0 0 0 0 97,0 19 17 0 78,13 60 64 0 80,4 57 59 100 78,0 6 0 100 83,46 62 77 0 84,43 62 0 0 79,0 67 51 100 0,0 67 51 100 0,46 64 0 0 78,45 63 73 0 78,54 76 62 100 91,45 64 90 100 83,17 44 41 85 78,40 48 4 8 78,43 52 69 15 78,31 44 12 30 78,66 73 84 100 99,60 73 79 100 78,51 59 0 0 79,50 54 0 0 81,37 23 0 0 91,53 54 73 0 0,0 54 71 100 77,20 54 84 0 84
